titulo;precio;esb2b;business_Score;transporte;marca;url;categoria;fecha
CONNECTEUR CBS/CT 70 MICHAUD K323;4.67;FALSE;0.026826229;5;hager;https://www.manomano.fr/catalogue/p/connecteur-cbs-ct-70-michaud-k323-7673540;cuadros;14/12/2020
TABLEAU ÉLECTRIQUE LEGRAND 2 RANGÉE ÉQUIPÉ ET PRÉ CABLÉ ( LEG2R) PORTE OFFERTE;269;FALSE;0.02514432;;zenitech;https://www.manomano.fr/catalogue/p/tableau-electrique-legrand-2-rangee-equipe-et-pre-cable-leg2r-porte-offerte-26113682?model_id=26094573;cuadros;14/12/2020
Coffret électrique pré-équipé 1 rangée 13 modules - Thomson;83.99;FALSE;0.016581033;;hager;https://www.manomano.fr/catalogue/p/coffret-electrique-pre-equipe-1-rangee-thomson-12276968;cuadros;14/12/2020
Coffret de communication - Coffret VDI 2 rangées 26 modules Grade 3TV (TN415);199.74;FALSE;0.010405215;;SCHNEIDER;https://www.manomano.fr/catalogue/p/coffret-vdi-2r-26m-gr3-6472451;cuadros;14/12/2020
Coffret T4 39 modules Blanc équipé de 11 disjoncteurs et 3 inter. diff. livré avec accessoires - Zenitech;142.99;FALSE;0.009869711;4.55;michaud;https://www.manomano.fr/catalogue/p/coffret-t4-39-modules-blanc-equpe-de-11-disjoncteurs-et-3-inter-diff-livre-avec-accessoires-2936934;cuadros;14/12/2020
Legrand 093058 Essentiel Spécial Tableau Électrique Équipé pour Logement T5;299;FALSE;0.009611845;9.99;michaud;https://www.manomano.fr/catalogue/p/legrand-093058-essentiel-special-tableau-electrique-equipe-pour-logement-t5-25566796?model_id=25547688;cuadros;14/12/2020
HAGER Gamma Tableau électrique prééquipé 4 rangées 4ID 40A 14 disjoncteurs;299;FALSE;0.009594314;;legrand;https://www.manomano.fr/catalogue/p/hager-gamma-tableau-electrique-preequipe-4-rangees-4id-40a-14-disjoncteurs-25566817?model_id=25547709;cuadros;14/12/2020
TABLEAU ÉLECTRIQUE LEGRAND 3 RANGÉE ÉQUIPÉ ET PRÉ CABLÉ ( LEG3R) PORTE OFFERTE;339;FALSE;0.009516845;;thomson;https://www.manomano.fr/catalogue/p/tableau-electrique-legrand-3-rangee-equipe-et-pre-cable-leg3r-porte-offerte-26113680?model_id=26094571;cuadros;14/12/2020
Coffret pré-équipé 4R avec protections + platine disjoncteur EDF 15-45A 500mA pour T3 avec chauffage électrique ABB 2412199;452.92;FALSE;0.007583517;6.88;hager;https://www.manomano.fr/catalogue/p/coffret-pre-equipe-4r-avec-protections-platine-disjoncteur-edf-15-45a-500ma-pour-t3-avec-chauffage-electrique-abb-2412199-15642551;cuadros;14/12/2020
Embouts x2 ebcp 35/16 1 noir +;20.25;FALSE;0.007329735;;zenitech;https://www.manomano.fr/catalogue/p/embouts-x2-ebcp-35-16-1-noir-9005786;cuadros;14/12/2020
Coffret T5 39 modules Blanc équipé de 13 disjoncteurs et 3 inter. diff. livré avec accessoires - Zenitech;141.99;FALSE;0.00732952;9;legrand;https://www.manomano.fr/catalogue/p/coffret-t5-39-modules-blanc-equpe-de-13-disjoncteurs-et-3-inter-diff-livre-avec-accessoires-2936935;cuadros;14/12/2020
CONNECTEUR CBS/CT 150 MICHAUD K324;4.89;FALSE;0.006991376;9;hager;https://www.manomano.fr/catalogue/p/connecteur-cbs-ct-150-michaud-k324-18803343?model_id=18801345;cuadros;14/12/2020
SIEMENS - Tableau électrique pré-équipé 2 rangées 26 modules 8 disjoncteurs 2 interrupteurs différentiels NFC 15-100;169;FALSE;0.006918053;;siemens;https://www.manomano.fr/catalogue/p/siemens-tableau-electrique-pre-equipe-2-rangees-26-modules-8-disjoncteurs-2-interrupteurs-differentiels-nfc-15-100-3035424;cuadros;14/12/2020
Coffret pré-câblé 2 rangées - HQ215796 / ABB;166.85;FALSE;0.00633496;;abb;https://www.manomano.fr/catalogue/p/coffret-pre-cable-2-rangees-hq215796-abb-8616437;cuadros;14/12/2020
Tableau électrique Pré-Câblé 1 rangée - Rénovation / Schneider;167.99;FALSE;0.004412074;;SCHNEIDER;https://www.manomano.fr/catalogue/p/tableau-electrique-pre-cable-1-rangee-renovation-schneider-12552182;cuadros;14/12/2020
Tableau electrique Pré Cablé Schneider Electric surface supérieur a 100 m2 (T6 et plus);482.99;FALSE;0.004334208;;SCHNEIDER;https://www.manomano.fr/catalogue/p/tableau-electrique-pre-cable-schneider-surface-superieur-a-100-m2-t6-et-plus-187219;cuadros;14/12/2020
Coffret pré-équipé 4R avec protections + platine disjoncteur EDF 15-45A 500mA pour T1/T2 sans chauffage électrique ABB 2410482;396.19;FALSE;0.00422009;;abb;https://www.manomano.fr/catalogue/p/coffret-pre-equipe-4r-avec-protections-platine-disjoncteur-edf-15-45a-500ma-pour-t1-t2-sans-chauffage-electrique-abb-2410482-15642553;cuadros;14/12/2020
Tableau Électrique Pré Câblé 1 rangée NF NALTO 1 ID + 5 Disjoncteurs;73.5;FALSE;0.004159765;9.9;nalto;https://www.manomano.fr/catalogue/p/tableau-electrique-pre-cable-1-rangee-nf-nalto-1-id-5-disjoncteurs-17131039?model_id=17130856;cuadros;14/12/2020
Tableau équipé 3 rangées (KIT3RT5);317.99;FALSE;0.003943568;;legrand;https://www.manomano.fr/catalogue/p/legrand-leg93010-tableau-pre-equipe-3-rangees-804308;cuadros;14/12/2020
