titulo;precio;esb2b;business_Score;transporte;marca;url;categoria;fecha
Bloc differentiel 25A 3P 300mA type AC 230..415V VIGI C60 (équivalent au C60 26522 MULTI9) SCHNEIDER ELECTRIC 26590;60.58;false;0.0001370517;3.99;schneider;https://www.manomano.fr/catalogue/p/bloc-differentiel-25a-3p-300ma-type-ac-230415v-vigi-c60-equivalent-au-c60-26522-multi9-schneider-electric-26590-9244762;diferenciales;2020-12-17
Merlin Gerin 21511 - Prodis Vigi TG60 bloc Différentiel 4P 40A 30mA instantané type AC;169.44;false;0.0001364907;4.55;schneider;https://www.manomano.fr/catalogue/p/merlin-gerin-21511-prodis-vigi-tg60-bloc-differentiel-4p-40a-30ma-instantane-type-ac-4142131;diferenciales;2020-12-17
Inter diff DX³-ID - vis/vis - 4P- 400V~- 25A - type A - 30mA - départ bas - 4M;106.05;false;0.0001357112;3.99;legrand;https://www.manomano.fr/catalogue/p/inter-diff-dx-id-vis-vis-4p-400v-25a-type-a-30ma-depart-bas-4m-2139384;diferenciales;2020-12-17
Disjoncteur bipolaire différentiel de protection 300mA 32A (401132);230.93;false;0.0001346889;;legrand;https://www.manomano.fr/catalogue/p/disjoncteur-differentiel-de-protection-baco-diff-300-ma-2p-32-a-legrand-401132-4848685;diferenciales;2020-12-17
Acti9 iDT40 - module différentiel Vigi - départ iDT40 - 3P+N 25A 300mA type AC (A9Y63725);104.85;false;0.0001316857;3.50;SCHNEIDER;https://www.manomano.fr/catalogue/p/bloc-differentiel-25a-vigi-idt40-depart-300-ma-type-ac-3p-n-17585801?model_id=17583803;diferenciales;2020-12-17
Bloc Différentiel VIGI IC60 4P 63A 300S ASI Schneider Electric ACTI 9;459.97;false;0.0001311099;;SCHNEIDER;https://www.manomano.fr/catalogue/p/bloc-differentiel-vigi-ic60-4p-63a-300s-asi-schneider-acti-9-198132;diferenciales;2020-12-17
Inter. diff. 2P 40A 300mA AC borne déc.;77.93;false;0.0001301121;3.99;hager;https://www.manomano.fr/catalogue/p/inter-diff-2p-40a-300ma-ac-borne-dec-hag-cfc742f-8451473;diferenciales;2020-12-17
DX3 DIJONCTEUR DIFFERENTIEL 1P+N C20 300MA LEGRAND 410726;99.4;false;0.000129592;9.99;legrand;https://www.manomano.fr/catalogue/p/disj-diff-dx-4500-vis-vis-u-n-230v-20a-typeac-300ma-6ka-courbe-c-2m-1785967;diferenciales;2020-12-17
Interrupteur différentiel DX ID arrivée haute et départ bas à vis 4P 400V~ 40A typeB 30mA 4 modules (411846);840.08;false;0.0001281492;;legrand;https://www.manomano.fr/catalogue/p/interrupteur-differentiel-dx-id-vis-vis-4p-400v-40a-type-b-30ma-depart-bas-4m-legrand-411846-3954633;diferenciales;2020-12-17
Interrupteur Différentiel 2P 25A 300MA AC Schneider Electric ACTI 9;89.63;false;0.0001275818;3.99;SCHNEIDER;https://www.manomano.fr/catalogue/p/interrupteur-differentiel-2p-25a-300ma-ac-schneider-acti-9-197795;diferenciales;2020-12-17
Bloc differentiel 25A 3P+N 300mA type AC VIGI DT40 (remplacé par A9N21471) SCHNEIDER 21471;61.23;false;0.0001270519;3.99;schneider;https://www.manomano.fr/catalogue/p/merlin-gerin-21471-bloc-differentiel-vigi-dt40-3p-n-25a-300ma-ac-400v-3901709;diferenciales;2020-12-17
Inter dif 1P+N 40A 30mA AC BD (HAG CDC140F);126.3;false;0.000125154;1.99;hager;https://www.manomano.fr/catalogue/p/inter-dif-1p-n-40a-30ma-ac-bd-hag-cdc140f-4022170;diferenciales;2020-12-17
